Date,Amount,Category,Name,Account,Type
01/02/2026,30.98,Food,,Main account,Expense
01/02/2026,302.36,Utilities,Dewa,Main account,Expense
01/02/2026,44.21,Extras,PS Game,Main account,Expense
02/02/2026,205.94,Utilities,Du,Main account,Expense
02/02/2026,22.27,Groceries,,Main account,Expense
02/02/2026,41.70,Food,,Main account,Expense
02/02/2026,30.21,Extras,Wrapping paper,Main account,Expense
03/02/2026,352.75,Housing,,Main account,Expense
04/02/2026,219.21,Shopping,,Main account,Expense
04/02/2026,189.61,Groceries,,Main account,Expense
05/02/2026,43.64,Groceries,,Main account,Expense
05/02/2026,144.80,Extras,Amazon,Main account,Expense
06/02/2026,22.78,Food,,Main account,Expense
06/02/2026,352.75,Housing,,Main account,Expense
06/02/2026,100.79,Transportation,,Main account,Expense
06/02/2026,46.15,Food,,Main account,Expense
06/02/2026,100.79,Transportation,,Main account,Expense
07/02/2026,58.48,Food,,Main account,Expense
07/02/2026,25.80,Food,,Main account,Expense
07/02/2026,23.05,Food,,Main account,Expense
07/02/2026,151.18,Shopping,,Main account,Expense
08/02/2026,352.75,Housing,,Main account,Expense
09/02/2026,352.75,Housing,,Main account,Expense
09/02/2026,27.13,Groceries,,Main account,Expense
09/02/2026,96.73,Groceries,,Main account,Expense
10/02/2026,352.75,Housing,,Main account,Expense
10/02/2026,33.55,Groceries,,Main account,Expense
11/02/2026,486.11,Food,,Main account,Expense
12/02/2026,352.75,Housing,,Main account,Expense
12/02/2026,40.19,Groceries,,Main account,Expense
13/02/2026,26.20,Food,,Main account,Expense
13/02/2026,37.44,Extras,PS5,Main account,Expense
13/02/2026,151.18,Transportation,,Main account,Expense
13/02/2026,5.49,Extras,,Main account,Expense
13/02/2026,27.21,Food,,Main account,Expense
13/02/2026,45.35,Food,,Main account,Expense
14/02/2026,28.83,Food,,Main account,Expense
14/02/2026,352.75,Housing,,Main account,Expense
14/02/2026,19.61,Food,,Main account,Expense
14/02/2026,37.89,Food,,Main account,Expense
15/02/2026,55.43,Transportation,,Main account,Expense
15/02/2026,65.51,Transportation,,Main account,Expense
15/02/2026,133.70,Extras,Amazon,Main account,Expense
16/02/2026,41.19,Extras,Haircut,Main account,Expense
16/02/2026,66.52,Groceries,,Main account,Expense
16/02/2026,352.75,Housing,,Main account,Expense
17/02/2026,36.28,Transportation,,Main account,Expense
17/02/2026,352.75,Housing,,Main account,Expense
17/02/2026,12.23,Transportation,,Main account,Expense
18/02/2026,236.17,Going out,,Main account,Expense
18/02/2026,100.79,Groceries,,Main account,Expense
18/02/2026,30.98,Food,,Main account,Expense
19/02/2026,56.76,Groceries,,Main account,Expense
19/02/2026,157.23,Groceries,,Main account,Expense
19/02/2026,79.03,Transportation,,Main account,Expense
20/02/2026,352.75,Housing,,Main account,Expense
21/02/2026,20.88,Food,,Main account,Expense
21/02/2026,352.75,Housing,,Main account,Expense
21/02/2026,18.29,Food,,Main account,Expense
22/02/2026,45.83,Groceries,,Main account,Expense
22/02/2026,251.97,Shopping,,Main account,Expense
22/02/2026,131.02,Groceries,,Main account,Expense
23/02/2026,25.32,Extras,Robinhood,Main account,Expense
23/02/2026,453.54,Housing,,Main account,Expense
24/02/2026,"13,260.66",Extras,FTI Delta,Main account,Income
24/02/2026,"6,000.00",Salary,,Main account,Income
24/02/2026,66.58,Groceries,,Main account,Expense
24/02/2026,251.97,Utilities,Dewa,Main account,Expense
24/02/2026,38.30,Food,,Main account,Expense
25/02/2026,31.84,Food,,Main account,Expense
25/02/2026,55.43,Utilities,Car wash,Main account,Expense
25/02/2026,191.96,Extras,Washing machine,Main account,Expense
25/02/2026,102.98,Extras,Laundry duvets,Main account,Expense
26/02/2026,120.94,Food,,Main account,Expense
26/02/2026,234.80,Going out,,Main account,Expense
26/02/2026,219.69,Extras,,Main account,Income
26/02/2026,171.34,Transportation,,Main account,Expense
27/02/2026,99.78,Shopping,,Main account,Expense
27/02/2026,175.76,Going out,,Main account,Expense
28/02/2026,123.58,Going out,,Main account,Expense
28/02/2026,85.67,Transportation,,Main account,Expense
28/02/2026,25.25,Food,,Main account,Expense
28/02/2026,50.39,Shopping,,Main account,Expense
01/03/2026,51.98,Extras,PS Game,Main account,Expense
01/03/2026,36.43,Food,,Main account,Expense
01/03/2026,355.52,Utilities,Dewa,Main account,Expense
02/03/2026,35.52,Extras,Wrapping paper,Main account,Expense
02/03/2026,242.15,Utilities,Du,Main account,Expense
02/03/2026,26.19,Groceries,,Main account,Expense
02/03/2026,49.03,Food,,Main account,Expense
03/03/2026,414.78,Housing,,Main account,Expense
04/03/2026,222.95,Groceries,,Main account,Expense
04/03/2026,257.75,Shopping,,Main account,Expense
05/03/2026,51.31,Groceries,,Main account,Expense
05/03/2026,170.26,Extras,Amazon,Main account,Expense
06/03/2026,54.26,Food,,Main account,Expense
06/03/2026,118.51,Transportation,,Main account,Expense
06/03/2026,414.78,Housing,,Main account,Expense
06/03/2026,26.78,Food,,Main account,Expense
06/03/2026,118.51,Transportation,,Main account,Expense
07/03/2026,68.76,Food,,Main account,Expense
07/03/2026,27.10,Food,,Main account,Expense
07/03/2026,177.76,Shopping,,Main account,Expense
07/03/2026,30.34,Food,,Main account,Expense
08/03/2026,414.78,Housing,,Main account,Expense
09/03/2026,414.78,Housing,,Main account,Expense
09/03/2026,31.90,Groceries,,Main account,Expense
09/03/2026,113.73,Groceries,,Main account,Expense
10/03/2026,39.45,Groceries,,Main account,Expense
10/03/2026,414.78,Housing,,Main account,Expense
11/03/2026,571.59,Food,,Main account,Expense
12/03/2026,47.26,Groceries,,Main account,Expense
12/03/2026,414.78,Housing,,Main account,Expense
13/03/2026,177.76,Transportation,,Main account,Expense
13/03/2026,32.00,Food,,Main account,Expense
13/03/2026,6.46,Extras,,Main account,Expense
13/03/2026,30.81,Food,,Main account,Expense
13/03/2026,44.03,Extras,PS5,Main account,Expense
13/03/2026,53.33,Food,,Main account,Expense
14/03/2026,23.06,Food,,Main account,Expense
14/03/2026,44.55,Food,,Main account,Expense
14/03/2026,33.89,Food,,Main account,Expense
14/03/2026,414.78,Housing,,Main account,Expense
15/03/2026,77.03,Transportation,,Main account,Expense
15/03/2026,157.21,Extras,Amazon,Main account,Expense
15/03/2026,65.18,Transportation,,Main account,Expense
16/03/2026,78.21,Groceries,,Main account,Expense
16/03/2026,414.78,Housing,,Main account,Expense
16/03/2026,48.43,Extras,Haircut,Main account,Expense
17/03/2026,42.66,Transportation,,Main account,Expense
17/03/2026,414.78,Housing,,Main account,Expense
17/03/2026,14.37,Transportation,,Main account,Expense
18/03/2026,36.43,Food,,Main account,Expense
18/03/2026,118.51,Groceries,,Main account,Expense
18/03/2026,277.70,Going out,,Main account,Expense
19/03/2026,184.87,Groceries,,Main account,Expense
19/03/2026,66.74,Groceries,,Main account,Expense
19/03/2026,92.92,Transportation,,Main account,Expense
20/03/2026,414.78,Housing,,Main account,Expense
21/03/2026,21.51,Food,,Main account,Expense
21/03/2026,24.55,Food,,Main account,Expense
21/03/2026,414.78,Housing,,Main account,Expense
22/03/2026,154.06,Groceries,,Main account,Expense
22/03/2026,53.89,Groceries,,Main account,Expense
22/03/2026,296.27,Shopping,,Main account,Expense
